depth 2 :,,depth 4 :,,depth 6 :,,depth 8 :,,depth 10 :,
Time,Node,Time,Node,Time,Node,Time,Node,Time,Node
0,78,0,2477,0.078,113804,4.014,7007932,427.954,545046066
0,119,0,4393,0.125,230900,8.352,15992995,989.485,1372309156
0,197,0,7826,0.234,428066,15.574,30561389,1981.64,2682694798
0,163,0.016,6764,0.234,396679,15.753,30062866,1958.2,2753480969
0,241,0.015,9763,0.283,540095,18.919,38467015,2424.49,3338611916
0,244,0.016,15617,0.563,1207822,48.965,107926356,7859.58,10971015073
0,264,0,12576,0.422,827975,33.583,69327839,4947.11,6947939447
0,268,0.015,12587,0.422,818373,33.023,68052582,4952.91,6802179118
0,380,0.016,18522,0.579,1170360,43.967,91922089,6405.65,8579077019
0,91,0,3313,0.109,171663,5.98,11778060,761.597,1000947672
0,378,0.015,18807,0.61,1181374,43.73,90738145,6114.12,8243330213
0,297,0.016,15427,0.515,1056646,41.304,88140612,6205.85,8548866144
0,416,0.015,24394,0.875,1765114,73.766,153125497,11330.7,15453911600
0,570,0.015,39076,1.495,3134796,131.549,289860199,21343.1,30343121253
0,326,0.016,16930,0.609,1153407,48.357,98126841,7225.43,9926972489
