depth 10 :,,,,,,depth 10 :,
Time,Node,Time(¬í),Node(­Ó),Frequency(­Ó/¬í),,Time,Node
0.29,528015,1.71,3595257.98,2105198,,0.28,565272
0.69,1353681,,,,,0.7,1424175
1.99,4011492,,,,,1.91,4097275
0.75,1579890,,,,,0.79,1705965
0.84,1780853,,,,,0.83,1844612
1.37,2921381,,,,,1.39,3132642
1.49,3144947,,,,,1.48,3251590
0.47,940604,,,,,0.44,960281
1.06,2183674,,,,,1.12,2458004
0.87,1839203,,,,,0.87,1925975
1.27,2757952,,,,,1.26,2876465
1.09,2329323,,,,,1.06,2374748
1.38,2943386,,,,,1.39,3135998
2.28,4923651,,,,,2.29,5282514
3.27,7222845,,,,,3.46,8100787
2.47,5480867,,,,,2.45,5802101
2.97,6600462,,,,,2.9,6871985
1.42,2962740,,,,,1.64,3546203
1.28,2635932,,,,,1.24,2672482
0.18,378950,,,,,0.19,411725
2.21,4576214,,,,,2.37,5311171
0.54,1127859,,,,,0.55,1230608
1.19,2446188,,,,,1.14,2476602
1.32,2680563,,,,,1.27,2751976
1.22,2618506,,,,,1.23,2790862
1.23,2562270,,,,,1.33,2874844
1.14,2365403,,,,,1.11,2421647
0.2,428223,,,,,0.25,568576
2.28,4700051,,,,,2.83,6319907
0.52,1073245,,,,,0.57,1257527
0.75,1547635,,,,,0.72,1591940
1.29,2665880,,,,,1.25,2728153
1.7,3596435,,,,,1.75,3928972
2.98,6132746,,,,,2.8,6104322
0.56,1118536,,,,,0.52,1065410
0.79,1622674,,,,,0.78,1695400
1.97,4022384,,,,,1.81,3910130
0.75,1527059,,,,,0.7,1503070
2.12,4394081,,,,,2.42,5344080
1.36,2715676,,,,,10.45,23314604
3.05,6510913,,,,,3.24,7324644
2.25,4754780,,,,,2.59,5743054
2.24,4624677,,,,,2.65,5867613
3.6,7518007,,,,,4.62,10452102
3.4,7212184,,,,,3.81,8616111
2.92,6159987,,,,,3.41,7607460
2.88,6075914,,,,,3.42,7558718
3.73,7892744,,,,,3.66,8250209
2.33,4947612,,,,,2.2,4979610
5.44,11624605,,,,,5.72,12978361
