,depth2,,,depth4,,,depth6,,,depth8,,,depth10,,,depth12,,,depth14,,
board,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value,Time,Node,value
1390,0,69,-2,0,1954,-2,0.016,25817,-2,0.141,317943,-2,1.367,3116121,-2,15.232,35306352,-2,202.497,544407509,-2
1963,0,93,-2,0,1343,-2,0,23064,-2,0.141,371806,-2,1.995,4912435,-2,19.422,51203302,-2,208.938,571609583,-2
1337,0,43,2,0,776,0,0,15584,0,0.047,119460,0,0.688,1629907,0,6.395,15270658,-2,74.946,191689426,-2
415,0,12,2,0,76,0,0,665,0,0,4045,0,0.015,30858,0,0.156,325171,0,1.218,2687348,-2
1612,0,48,-2,0,1370,-4,0,20330,-4,0.109,283705,-4,1.01,2389345,-4,11.456,29591448,-2,87.136,214578363,-4
560,0,77,-2,0,1059,-2,0.016,19985,-2,0.109,259333,0,1.338,3210867,0,15.714,39294074,0,173.205,446223984,-2
1314,0,63,4,0,1116,2,0.015,22693,0,0.125,276818,0,1.499,3679681,0,15.554,38856852,-2,161.929,413659718,-2
846,0,64,2,0,978,2,0,12362,0,0.047,120476,0,0.437,981745,0,4.224,9784215,0,40.957,98439968,0
382,0,57,0,0,1189,0,0.016,14676,0,0.11,241447,-2,1.261,3157656,-2,9.672,23780599,-2,77.624,197280142,-4
1667,0,83,0,0,1695,-2,0,16102,-2,0.063,148086,-2,0.594,1436390,-2,5.501,13829431,-2,52.046,135136175,-2
1065,0,68,-4,0,1540,-4,0,20825,-4,0.125,301780,-4,1.197,3024868,-4,11.754,30686576,-4,93.473,240511291,-4
1960,0,64,-6,0,1217,-6,0,21491,-6,0.125,321359,-4,1.491,3332632,-4,18.341,46590878,-4,152.034,395219413,-4
915,0,100,-2,0,2158,-2,0.016,23728,-2,0.141,325479,-4,0.969,2265001,-4,9.482,23781666,-4,138.258,368412819,-6
155,0,48,2,0,499,2,0,2768,2,0.015,33038,2,0.172,355586,0,1.421,3333469,0,18.877,49209021,-2
40,0,61,0,0,396,-2,0,2859,-2,0.016,31982,0,0.156,312958,-2,2.63,6454457,-2,69.16,185386131,-2
1263,0,58,0,0,1420,0,0.016,20942,0,0.125,317257,0,1.526,3785548,-2,17.615,44784438,-2,343.384,941036891,-2
865,0,63,4,0,1436,2,0,15032,0,0.094,234857,-2,0.985,2413251,-2,9.212,22388903,-2,121.725,316771828,-2
150,0,65,-2,0,1568,-2,0,10339,-2,0.047,128755,-2,0.494,1175655,-2,4.786,11813150,-4,53.433,140665754,-2
700,0,49,0,0,806,2,0,10354,0,0.047,118261,2,0.671,1691689,2,7.427,18757046,0,94.56,250561426,0
1741,0,74,0,0,1064,0,0,20001,0,0.125,337900,0,1.803,4673636,0,32.396,87879309,0,337.661,893125628,0
876,0,75,0,0,2060,-2,0.016,31559,-2,0.125,299560,-2,1.671,4103388,-2,13.48,32493585,-2,142.34,368590793,-2
1977,0,59,0,0,920,0,0,14716,0,0.109,236509,0,1.124,2769505,0,14.949,39231212,-2,150.534,399670257,-2
949,0,42,-4,0,912,-4,0,12914,-6,0.078,170123,-6,1.047,2555443,-6,15.118,38181795,-6,135.72,340734997,-6
1626,0,71,2,0,922,2,0,14860,2,0.078,188855,0,0.906,2235806,0,8.112,20128872,0,88.85,232845144,0
570,0,57,0,0,1000,0,0,22469,2,0.078,208491,0,1.322,3432304,-2,13.707,35374830,0,156.437,418809421,-2
